address,parking,type,num_schools,cost,suburb,beds,baths,cost/(beds+baths)
"307/7-8 Bowen Crescent, Melbourne VIC 3004",0,Apartment / Unit / Flat,12,625.0,Melbourne,1,1,312.5
"413/118 Dudley Street, West Melbourne VIC 3003",1,House,9,620.0,West Melbourne,2,1,206.66666666666666
"314/105 Batman Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,620.0,West Melbourne,2,1,206.66666666666666
"101/442 Saint Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,650.0,Melbourne,2,2,162.5
"204/392 Spencer Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,610.0,West Melbourne,2,1,203.33333333333334
"111/604 St Kilda Road, Melbourne VIC 3004",0,Apartment / Unit / Flat,11,615.0,Melbourne,1,1,307.5
"1511/568 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,610.0,Melbourne,1,1,305.0
"108/408 Spencer Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,600.0,West Melbourne,1,1,300.0
"112 Adderley Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,600.0,West Melbourne,1,1,300.0
"4/58 Queens Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,600.0,Melbourne,2,1,200.0
"9/32 Queens Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,625.0,Melbourne,2,1,208.33333333333334
"2/18 Ireland Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,10,600.0,West Melbourne,2,1,200.0
"1215/610 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,600.0,Melbourne,2,1,200.0
"1003/45 Dudley Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,600.0,West Melbourne,1,1,300.0
"210/94 Stanley Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,600.0,West Melbourne,2,1,200.0
"414/74 Queens Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,600.0,Melbourne,2,1,200.0
"507/610 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,600.0,Melbourne,2,1,200.0
"510/14 Queens Road, Melbourne VIC 3004",0,Apartment / Unit / Flat,12,600.0,Melbourne,1,1,300.0
"31/30 Chetwynd Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,600.0,West Melbourne,2,1,200.0
"1503/45 Dudley Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,600.0,West Melbourne,1,1,300.0
"107/45 Dudley Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,600.0,West Melbourne,1,1,300.0
"213/65 Dudley Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,580.0,West Melbourne,2,1,193.33333333333334
"203/9 Commercial Road, Melbourne VIC 3004",2,Apartment / Unit / Flat,12,590.0,Melbourne,2,1,196.66666666666666
"1008/408 Spencer Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,580.0,West Melbourne,1,1,290.0
"68/416 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,590.0,Melbourne,2,1,196.66666666666666
"404/5 Wominjeka Walk, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,575.0,West Melbourne,1,1,287.5
"1101/408 Spencer Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,580.0,West Melbourne,1,1,290.0
"G02/141-149 Roden Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,570.0,West Melbourne,2,1,190.0
"30/32 Queens Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,580.0,Melbourne,2,1,193.33333333333334
"1204/74 Queens Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,575.0,Melbourne,1,1,287.5
"110/604 St Kilda Rd, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,590.0,Melbourne,1,1,295.0
"307/33 Batman Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,560.0,West Melbourne,2,1,186.66666666666666
"112/70 Queens Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,570.0,Melbourne,1,1,285.0
"109/253 Franklin Street, Melbourne VIC 3004",0,Apartment / Unit / Flat,10,560.0,Melbourne,2,1,186.66666666666666
"45 Dudley Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,550.0,West Melbourne,1,1,275.0
"6106/35 Queens Bridge Street, Southbank VIC 3006",2,Apartment / Unit / Flat,9,2300.0,Southbank,3,2,460.0
"106/74 Queens Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,550.0,Melbourne,1,1,275.0
"1105/610 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,550.0,Melbourne,2,1,183.33333333333334
"205/140 Dudley Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,550.0,West Melbourne,1,1,275.0
"607/121 Rosslyn Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,555.0,West Melbourne,1,1,277.5
"6207/18 Hoff Bvd, Southbank VIC 3006",1,Apartment / Unit / Flat,10,1800.0,Southbank,3,2,360.0
"3208C/633 Lonsdale Street, Melbourne VIC 3004",0,Apartment / Unit / Flat,9,560.0,Melbourne,1,1,280.0
"7507/70 Southbank Boulevard, Southbank VIC 3006",2,Apartment / Unit / Flat,10,1841.0,Southbank,3,2,368.2
"710/65 Dudley Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,550.0,West Melbourne,1,1,275.0
"4502/7 Riverside Quay, Southbank VIC 3006",1,Apartment / Unit / Flat,9,1700.0,Southbank,3,2,340.0
"208/400 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,550.0,Melbourne,1,1,275.0
"202/572 St Kilda Road, Melbourne VIC 3004",0,Apartment / Unit / Flat,12,550.0,Melbourne,1,1,275.0
"1606/1 Freshwater Place, Southbank VIC 3006",2,Apartment / Unit / Flat,10,1800.0,Southbank,3,2,360.0
"1/1 Harbison Lane, West Melbourne VIC 3003",0,Apartment / Unit / Flat,10,550.0,West Melbourne,2,1,183.33333333333334
"2601/65 Dudley Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,540.0,West Melbourne,1,1,270.0
"109/74 Queens Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,550.0,Melbourne,1,1,275.0
"5805/18 Hoff Boulevard, Southbank VIC 3006",2,Apartment / Unit / Flat,10,1600.0,Southbank,3,2,320.0
"5/78 Queens Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,550.0,Melbourne,2,1,183.33333333333334
"2301/15 Caravel Lane, Docklands VIC 3008",5,Apartment / Unit / Flat,9,3800.0,Docklands,5,6,345.45454545454544
"210/55 Jeffcott Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,540.0,West Melbourne,1,1,270.0
"1803/8 Waterview Walk, Docklands VIC 3008",4,Apartment / Unit / Flat,8,2900.0,Docklands,5,4,322.22222222222223
"4705W/11 Bale Circuit, Southbank VIC 3006",1,Apartment / Unit / Flat,10,1500.0,Southbank,3,2,300.0
